"","IRI_KEY","FIPS","NAME","State_Name","REGION","DIVISION","Zip_name","Good_Bad","Zip_key","Zip_lon","Zip_lat","Share_Camp","Share_Other","Share_PL","Share_prog","per_kids18","per_kids9","per_old","per_white","per_black","hhsize","Per_college","per_hh_less20K","median_inc","capita_inc","Factor1","Factor2","Factor3","CLUSTER.cluster"
"1810",658258,40109,"Oklahoma County","Oklahoma",3,7,"73142 Oklahoma City","Bad",73142,-97.64,35.61,0.657442187,0.055129709,0.081483937,0.205944167,0.24,0.14,0.08,0.82,0.09,2.18,0.41,0.14,43974,30481,-0.303758732376758,-0.225147147854254,0.208554306375913,3
"1811",658361,1089,"Madison County","Alabama",3,6,"35811 Huntsville","Bad",35811,-86.5,34.8,0.590318172,0.046001788,0.265179443,0.098500598,0.24,0.13,0.11,0.71,0.26,2.56,0.22,0.17,46328,19831,-0.209757641749019,-0.108580835907276,-0.390704323125407,3
"1812",658459,42133,"York County","Pennsylvania",1,2,"17331 Hanover","Bad",17331,-76.98,39.79,0.578560574,0.038283308,0.190500694,0.192655425,0.24,0.13,0.16,0.98,0.01,2.49,0.14,0.17,43999,20288,-0.236177407908339,-0.531020985806384,1.15466085979376,3
"1813",659126,26139,"Ottawa County","Michigan",2,3,"49456 Spring Lake","Bad",49456,-86.19,43.09,0.63329952,0.038036259,0.214288054,0.114376167,0.25,0.13,0.14,0.97,0,2.44,0.32,0.13,51359,28326,-0.101070129139202,-0.0486219934976429,1.05253917939261,3
"1814",659263,42041,"Cumberland County","Pennsylvania",1,2,"17257 Shippensburg","Bad",17257,-77.49,40.05,0.581283907,0.032920826,0.211831461,0.173963806,0.22,0.12,0.11,0.96,0.02,2.63,0.15,0.26,37212,14928,-0.60128629307059,-0.838933087677534,1.00282531747996,3
"1815",659430,51087,"Henrico County","Virginia",3,5,"23227 Richmond","Bad",23227,-77.44,37.62,0.531083427,0.08092504,0.218080183,0.16991135,0.2,0.12,0.19,0.47,0.5,2.06,0.33,0.27,36568,23275,-1.12376477471522,-0.150081491913954,-1.9198533324197,4
"1816",659632,42041,"Cumberland County","Pennsylvania",1,2,"17050 Mechanicsburg","Bad",17050,-77.03,40.25,0.471816105,0.056184842,0.198005315,0.273993739,0.25,0.14,0.12,0.78,0.11,2.58,0.27,0.18,49943.64,24434.48,0.00878702092218651,-0.00479463042213277,0.0315807710564134,3
"1817",659827,17163,"St. Clair County","Illinois",2,3,"62269 O Fallon","Bad",62269,-89.92,38.6,0.684270248,0.079612554,0.080579272,0.155537925,0.28,0.14,0.09,0.84,0.11,2.63,0.31,0.12,55339,25134,0.505077800686104,0.127157949889892,0.455824712727795,3
"1818",659902,53053,"Pierce County","Washington",4,9,"98387 Spanaway","Bad",98387,-122.39,47.06,0.554509288,0.094608868,0.199309523,0.151572321,0.32,0.17,0.06,0.76,0.07,2.95,0.12,0.13,51318,18853,1.3974630781045,-0.339428791360939,0.312565106648947,3
"1819",660222,6065,"Riverside County","California",4,9,"92508 Riverside","Bad",92508,-117.32,33.89,0.635233906,0.107409854,0.071874644,0.185481596,0.34,0.18,0.06,0.7,0.09,3.34,0.27,0.07,68701,22205,1.9426593543837,0.622832622982157,-0.0426646618888677,2
"1820",661051,51515,"Bedford city","Virginia",3,5,"24523 Bedford","Bad",24523,-79.52,37.34,0.636532946,0.053151277,0.202730726,0.107585051,0.22,0.12,0.18,0.83,0.15,2.39,0.14,0.26,35117,17768,-0.703693845477203,-0.786526723833921,0.260695495560421,3
"1821",661566,47155,"Sevier County","Tennessee",3,6,"37865 Seymour","Bad",37865,-83.74,35.85,0.580980716,0.037697083,0.315494363,0.065827838,0.25,0.13,0.11,0.98,0,2.59,0.18,0.18,40691,18590,-0.0882088361051161,-0.760052804847742,1.22467693735469,3
"1822",661692,48085,"Collin County","Texas",3,7,"75070 McKinney","Bad",75070,-96.7,33.17,0.609299442,0.063284064,0.187467394,0.1399491,0.33,0.21,0.05,0.9,0.04,2.97,0.46,0.04,84847,35744,1.99585663040324,1.43062704037962,0.920835930877228,2
"1823",666206,24025,"Harford County","Maryland",3,5,"21014 Bel Air","Bad",21014,-76.35,39.54,0.516283245,0.044920411,0.166194746,0.272601598,0.28,0.14,0.12,0.94,0.03,2.66,0.32,0.1,61472,26598,0.552282917045673,0.370675603359909,0.976479168561053,3
"1824",668870,23031,"York County","Maine",1,1,"04005 Biddeford","Good",4005,-70.5,43.5,0.324522087,0.132775969,0.111088616,0.431613328,0.22,0.13,0.15,0.97,0.01,2.34,0.15,0.28,35709,18363,-0.628205747587996,-0.919685709064255,1.06533088102595,3
"1825",668871,25027,"Worcester County","Massachusetts",1,1,"01606 Worcester","Good",1606,-71.8,42.31,0.361246786,0.115458604,0.083061221,0.440233389,0.21,0.12,0.16,0.87,0.06,2.35,0.24,0.18,44689,21266,-0.789730721590278,-0.200275869953748,0.367574314830407,3
"1826",668889,25015,"Hampshire County","Massachusetts",1,1,"01075 South Hadley","Good",1075,-72.58,42.26,0.342365869,0.10457816,0.188099057,0.364956914,0.2,0.1,0.17,0.94,0.01,2.33,0.32,0.17,46731,22682,-1.08590992289906,-0.047927162668158,0.656055692533171,3
"1827",668927,34003,"Bergen County","New Jersey",1,2,"07628 Dumont","Good",7628,-73.99,40.95,0.304858351,0.115958528,0.075834195,0.503348926,0.24,0.14,0.15,0.84,0.01,2.75,0.25,0.13,65497,26480,0.0290941552263576,0.828846498747796,0.235326654919886,2
"1828",669507,16055,"Kootenai County","Idaho",4,8,"83835 Hayden","Bad",83835,-116.54,47.8,0.698921135,0.064493063,0.073361847,0.163223954,0.27,0.14,0.13,0.97,0,2.66,0.21,0.18,41611,20599,0.269776686396518,-0.781414386178819,1.25868986284434,3
"1829",669876,13097,"Douglas County","Georgia",3,5,"30134 Douglasville","Bad",30134,-84.78,33.77,0.765152699,0.017019857,0.132907822,0.084919622,0.3,0.18,0.07,0.76,0.21,2.82,0.16,0.17,46580,19531,1.09166093509096,-0.522542136102267,0.25634065012552,3
"1830",669901,6085,"Santa Clara County","California",4,9,"95020 Gilroy","Good",95020,-121.56,37.02,0.489781705,0.115345097,0.048420587,0.346452611,0.32,0.18,0.07,0.6,0.02,3.43,0.19,0.11,64611,23575,1.63571801334818,0.567394886540534,-0.646399039443061,2
"1831",669946,55139,"Winnebago County","Wisconsin",2,3,"54902 Oshkosh","Bad",54902,-88.54,43.95,0.634524372,0.049735913,0.149918765,0.16582095,0.22,0.12,0.19,0.96,0.01,2.25,0.17,0.21,38563,21409,-0.715533639680305,-0.685786470814339,0.957312832936658,3
"1832",669995,51683,"Manassas city","Virginia",3,5,"20110 Manassas","Bad",20110,-77.49,38.75,0.68413047,0.023393636,0.161810519,0.130665375,0.3,0.18,0.05,0.73,0.12,2.95,0.26,0.08,62938,24618,1.2346410191766,0.470569661895082,-0.0273925474723441,2
"1833",670297,45013,"Beaufort County","South Carolina",3,5,"29910 Bluffton","Bad",29910,-80.88,32.22,0.594351847,0.034774763,0.154405341,0.216468049,0.22,0.13,0.18,0.84,0.13,2.44,0.29,0.13,54017,27797,-0.518811141306209,0.344319911512576,0.176572382282722,3
"1834",670735,48439,"Tarrant County","Texas",3,7,"76115 Fort Worth","Bad",76115,-97.33,32.68,0.789595431,0.046128056,0.161763973,0.002512539,0.35,0.22,0.06,0.5,0.09,3.44,0.13,0.31,28313,10418,2.08257872654489,-1.65083370469371,-0.737002470086374,1
"1835",670858,6065,"Riverside County","California",4,9,"92562 Murrieta","Bad",92562,-117.27,33.55,0.642989003,0.121621768,0.051503771,0.183885459,0.33,0.18,0.12,0.83,0.03,3.01,0.21,0.11,61583,24612,1.6540232349644,0.149239717771639,0.676559724710586,2
"1836",670891,48367,"Parker County","Texas",3,7,"76082 Springtown","Bad",76082,-97.72,32.97,0.621032483,0.021814779,0.272407221,0.084745517,0.31,0.16,0.08,0.95,0.01,2.96,0.09,0.18,43716,16688,1.12432570429223,-0.922704344600103,1.37559928410481,3
"1837",670893,37057,"Davidson County","North Carolina",3,5,"27360 Thomasville","Bad",27360,-80.1,35.86,0.6883439,0.015110573,0.24046473,0.056080797,0.24,0.14,0.14,0.84,0.12,2.47,0.1,0.25,35939,17981,-0.227867517770008,-0.885416411428623,0.444165205052564,3
"1838",671367,34033,"Salem County","New Jersey",1,2,"08070 Pennsville","Bad",8070,-75.51,39.63,0.645215826,0.039451369,0.058829521,0.256503285,0.23,0.12,0.16,0.97,0.01,2.47,0.14,0.16,47321,22761,-0.436421310328465,-0.258501078442806,1.00954914616367,3
"1839",671371,9009,"New Haven County","Connecticut",1,1,"06401 Ansonia","Good",6401,-73.07,41.34,0.314816798,0.117442582,0.238026345,0.329714275,0.24,0.14,0.15,0.86,0.08,2.46,0.14,0.22,43026,20504,-0.185342935967234,-0.487854877663172,0.501747977595828,3
"1840",671426,17143,"Peoria County","Illinois",2,3,"61615 Peoria","Bad",61615,-89.64,40.78,0.645538233,0.093660877,0.186618616,0.074182273,0.25,0.14,0.11,0.83,0.1,2.38,0.34,0.17,51548,28784,-0.0438121291654234,0.0878238917146477,0.275202121246404,3
"1841",671439,25013,"Hampden County","Massachusetts",1,1,"01085 Westfield","Good",1085,-72.77,42.15,0.384366841,0.085750668,0.151064036,0.378818455,0.24,0.12,0.14,0.95,0.01,2.54,0.24,0.21,45482,20686,-0.30611881344569,-0.383336115404746,0.948569836676614,3
"1842",671543,6073,"San Diego County","California",4,9,"92021 El Cajon","Bad",92021,-116.87,32.84,0.514597149,0.056854894,0.21635952,0.212188438,0.28,0.16,0.11,0.8,0.04,2.73,0.13,0.22,40103,18277,0.583011963482459,-0.816327039893957,0.412433260353644,3
